geo_code,year,naics,jobs
3502025,2016,56,265.0
3502025,2016,61,595.0
3502025,2016,62,800.0
3502025,2016,71,105.0
3502025,2016,72,360.0
3502025,2016,81,315.0
3502025,2016,91,1110.0
3502036,2016,11,250.0
3502036,2016,21,15.0
3502036,2016,22,40.0
3502036,2016,23,1695.0
3502036,2016,31-33,470.0
3502036,2016,41,365.0
3502036,2016,44-45,1395.0
3502036,2016,48-49,565.0
3502036,2016,51,185.0
3502036,2016,52,380.0
3502036,2016,53,115.0
3502036,2016,54,580.0
3502036,2016,55,0.0
3502036,2016,56,745.0
3502036,2016,61,1155.0
3502036,2016,62,1435.0
3502036,2016,71,185.0
3502036,2016,72,700.0
3502036,2016,81,675.0
3502036,2016,91,2355.0
3502044,2016,11,30.0
3502044,2016,21,0.0
3502044,2016,22,0.0
3502044,2016,23,180.0
3502044,2016,31-33,70.0
3502044,2016,41,50.0
3502044,2016,44-45,205.0
3502044,2016,48-49,80.0
3502044,2016,51,40.0
3502044,2016,52,55.0
3502044,2016,53,0.0
3502044,2016,54,80.0
3502044,2016,55,0.0
3502044,2016,56,40.0
3502044,2016,61,210.0
3502044,2016,62,210.0
3502044,2016,71,20.0
3502044,2016,72,115.0
3502044,2016,81,135.0
3502044,2016,91,335.0
3502048,2016,11,150.0
3502048,2016,21,10.0
3502048,2016,22,40.0
3502048,2016,23,925.0
3502048,2016,31-33,325.0
3502048,2016,41,320.0
3502048,2016,44-45,860.0
3502048,2016,48-49,445.0
3502048,2016,51,135.0
3502048,2016,52,315.0
3502048,2016,53,120.0
3502048,2016,54,525.0
3502048,2016,55,20.0
3502048,2016,56,450.0
3502048,2016,61,685.0
3502048,2016,62,940.0
3502048,2016,71,230.0
3502048,2016,72,365.0
3502048,2016,81,380.0
3502048,2016,91,2085.0
3506008,2016,11,2240.0
3506008,2016,21,490.0
3506008,2016,22,1285.0
3506008,2016,23,23130.0
3506008,2016,31-33,15670.0
3506008,2016,41,11895.0
3506008,2016,44-45,52590.0
3506008,2016,48-49,14445.0
3506008,2016,51,13980.0
3506008,2016,52,16545.0
3506008,2016,53,9155.0
3506008,2016,54,51970.0
3506008,2016,55,410.0
3506008,2016,56,21845.0
3506008,2016,61,40890.0
3506008,2016,62,54620.0
3506008,2016,71,10005.0
3506008,2016,72,33720.0
3506008,2016,81,20860.0
3506008,2016,91,105355.0
3507004,2016,11,190.0
3507004,2016,21,15.0
3507004,2016,22,25.0
3507004,2016,23,390.0
3507004,2016,31-33,405.0
3507004,2016,41,90.0
3507004,2016,44-45,465.0
3507004,2016,48-49,225.0
3507004,2016,51,65.0
3507004,2016,52,80.0
3507004,2016,53,50.0
3507004,2016,54,165.0
3507004,2016,55,0.0
3507004,2016,56,155.0
3507004,2016,61,190.0
3507004,2016,62,350.0
3507004,2016,71,50.0
3507004,2016,72,205.0
3507004,2016,81,190.0
3507004,2016,91,325.0
3507006,2016,11,130.0
3507006,2016,21,15.0
3507006,2016,22,10.0
3507006,2016,23,320.0
3507006,2016,31-33,515.0
3507006,2016,41,140.0
3507006,2016,44-45,495.0
3507006,2016,48-49,300.0
3507006,2016,51,45.0
3507006,2016,52,115.0
3507006,2016,53,55.0
3507006,2016,54,180.0
3507006,2016,55,0.0
3507006,2016,56,165.0
3507006,2016,61,185.0
3507006,2016,62,500.0
3507006,2016,71,60.0
3507006,2016,72,185.0
3507006,2016,81,210.0
3507006,2016,91,185.0
3507008,2016,11,15.0
3507008,2016,21,0.0
3507008,2016,22,10.0
3507008,2016,23,125.0
3507008,2016,31-33,180.0
3507008,2016,41,40.0
3507008,2016,44-45,235.0
3507008,2016,48-49,130.0
3507008,2016,51,30.0
3507008,2016,52,30.0
3507008,2016,53,20.0
3507008,2016,54,80.0
3507008,2016,55,0.0
3507008,2016,56,105.0
3507008,2016,61,75.0
3507008,2016,62,235.0
3507008,2016,71,35.0
3507008,2016,72,125.0
3507008,2016,81,95.0
3507008,2016,91,135.0
3507014,2016,11,295.0
3507014,2016,21,30.0
3507014,2016,22,35.0
3507014,2016,23,550.0
3507014,2016,31-33,565.0
3507014,2016,41,165.0
3507014,2016,44-45,600.0
3507014,2016,48-49,250.0
3507014,2016,51,55.0
3507014,2016,52,85.0
3507014,2016,53,75.0
3507014,2016,54,190.0
3507014,2016,55,10.0
3507014,2016,56,300.0
3507014,2016,61,315.0
3507014,2016,62,725.0
3507014,2016,71,145.0
3507014,2016,72,275.0
3507014,2016,81,185.0
3507014,2016,91,215.0
3507015,2016,11,95.0
3507015,2016,21,10.0
3507015,2016,22,55.0
3507015,2016,23,530.0
3507015,2016,31-33,1015.0
3507015,2016,41,290.0
3507015,2016,44-45,1395.0
3507015,2016,48-49,330.0
3507015,2016,51,115.0
3507015,2016,52,225.0
3507015,2016,53,165.0
3507015,2016,54,355.0
3507015,2016,55,15.0
3507015,2016,56,705.0
3507015,2016,61,685.0
3507015,2016,62,1595.0
3507015,2016,71,155.0
3507015,2016,72,935.0
3507015,2016,81,315.0
3507015,2016,91,495.0
3507017,2016,11,60.0
3507017,2016,21,0.0
3507017,2016,22,25.0
3507017,2016,23,130.0
3507017,2016,31-33,145.0
3507017,2016,41,45.0
3507017,2016,44-45,150.0
3507017,2016,48-49,90.0
3507017,2016,51,15.0
3507017,2016,52,25.0
3507017,2016,53,35.0
